lr: 3.1330456923077754e-06Epoch 203, Train Loss:8.82, Valid_Loss:8.07, Valid_Accuracy:90.80% 
lr: 3.14843015384615e-06Epoch 204, Train Loss:9.94, Valid_Loss:2.66, Valid_Accuracy:89.57% 
lr: 3.1638146153845244e-06Epoch 205, Train Loss:7.90, Valid_Loss:4.69, Valid_Accuracy:94.48% 
lr: 3.179199076923121e-06Epoch 206, Train Loss:3.20, Valid_Loss:6.01, Valid_Accuracy:91.41% 
lr: 3.1945835384614954e-06Epoch 207, Train Loss:1.75, Valid_Loss:4.27, Valid_Accuracy:90.18% 
lr: 3.2099680000000916e-06Epoch 208, Train Loss:5.39, Valid_Loss:3.23, Valid_Accuracy:88.34% 
lr: 3.2253524615384664e-06Epoch 209, Train Loss:2.85, Valid_Loss:4.76, Valid_Accuracy:90.80% 
lr: 3.2407369230768407e-06Epoch 210, Train Loss:6.26, Valid_Loss:3.52, Valid_Accuracy:88.34% 
lr: 3.2561213846154373e-06Epoch 211, Train Loss:7.51, Valid_Loss:1.35, Valid_Accuracy:92.64% 
lr: 3.2715058461538116e-06Epoch 212, Train Loss:3.84, Valid_Loss:2.44, Valid_Accuracy:92.64% 
lr: 3.2868903076924083e-06Epoch 213, Train Loss:6.47, Valid_Loss:2.89, Valid_Accuracy:88.34% 
lr: 3.3022747692307826e-06Epoch 214, Train Loss:4.30, Valid_Loss:3.38, Valid_Accuracy:90.80% 
lr: 3.317659230769157e-06Epoch 215, Train Loss:4.02, Valid_Loss:5.88, Valid_Accuracy:91.41% 
lr: 3.3330436923077535e-06Epoch 216, Train Loss:7.40, Valid_Loss:2.35, Valid_Accuracy:92.64% 
lr: 3.348428153846128e-06Epoch 217, Train Loss:10.04, Valid_Loss:4.46, Valid_Accuracy:90.80% 
lr: 3.3638126153847245e-06Epoch 218, Train Loss:5.20, Valid_Loss:4.67, Valid_Accuracy:92.64% 
lr: 3.379197076923099e-06Epoch 219, Train Loss:7.16, Valid_Loss:1.69, Valid_Accuracy:92.64% 
lr: 3.3945815384614735e-06Epoch 220, Train Loss:4.23, Valid_Loss:4.19, Valid_Accuracy:91.41% 
lr: 3.4099660000000698e-06Epoch 221, Train Loss:3.97, Valid_Loss:3.86, Valid_Accuracy:90.18% 
lr: 3.425350461538444e-06Epoch 222, Train Loss:3.70, Valid_Loss:3.18, Valid_Accuracy:93.87% 
lr: 3.4407349230768188e-06Epoch 223, Train Loss:6.53, Valid_Loss:4.19, Valid_Accuracy:92.02% 
lr: 3.456119384615415e-06Epoch 224, Train Loss:7.53, Valid_Loss:7.03, Valid_Accuracy:90.80% 
lr: 3.4715038461537897e-06Epoch 225, Train Loss:0.93, Valid_Loss:2.26, Valid_Accuracy:92.02% 
lr: 3.486888307692386e-06Epoch 226, Train Loss:6.03, Valid_Loss:2.89, Valid_Accuracy:93.87% 
lr: 3.5022727692307607e-06Epoch 227, Train Loss:2.90, Valid_Loss:4.02, Valid_Accuracy:92.02% 
lr: 3.517657230769135e-06Epoch 228, Train Loss:3.30, Valid_Loss:5.18, Valid_Accuracy:92.02% 
lr: 3.5330416923077317e-06Epoch 229, Train Loss:10.69, Valid_Loss:2.53, Valid_Accuracy:93.87% 
lr: 3.548426153846106e-06Epoch 230, Train Loss:5.88, Valid_Loss:6.04, Valid_Accuracy:91.41% 
lr: 3.5638106153847026e-06Epoch 231, Train Loss:4.04, Valid_Loss:3.74, Valid_Accuracy:91.41% 
lr: 3.579195076923077e-06Epoch 232, Train Loss:6.58, Valid_Loss:3.72, Valid_Accuracy:92.02% 
lr: 3.5945795384614512e-06Epoch 233, Train Loss:8.72, Valid_Loss:4.64, Valid_Accuracy:90.18% 
lr: 3.609964000000048e-06Epoch 234, Train Loss:3.31, Valid_Loss:5.96, Valid_Accuracy:93.87% 
lr: 3.625348461538422e-06Epoch 235, Train Loss:4.96, Valid_Loss:2.01, Valid_Accuracy:90.18% 
